"","edad","anos_de_experiencia","anos_en_la_empresa_actual","anos_en_el_puesto_actual","perfil","salario_bruto","salario_neto"
"98",24,2,0,0,"BI Analyst / Data Analyst",60000,43000
"99",24,2,0,0,"BI Analyst / Data Analyst",60000,43000
"100",37,4,6,2,"BI Analyst / Data Analyst",92500,72000
"101",28,1,1,1,"Data Scientist / Data Engineer",92300,70641
"102",48,20,0,0,"Data Scientist / Data Engineer",92000,74000
"103",31,1,0,0,"BI Analyst / Data Analyst",64000,53000
"104",34,9,5,9,"BI Analyst / Data Analyst",75000,63000
"105",38,14,10,0,"BI Analyst / Data Analyst",90000,72000
"106",29,5,2,2,"BI Analyst / Data Analyst",90000,72000
"107",42,15,1,1,"BI Analyst / Data Analyst",90000,74000
"108",28,5,4,1,"Data Scientist / Data Engineer",90000,67000
"109",24,2,1,0,"Data Scientist / Data Engineer",90000,75000
"110",23,2,1,1,"Data Scientist / Data Engineer",90000,70000
"111",37,8,3,1,"BI Analyst / Data Analyst",47000,40000
"112",39,7,1,1,"BI Analyst / Data Analyst",87000,78000
"113",30,7,3,1,"BI Analyst / Data Analyst",86000,70000
"114",26,6,5,0,"BI Analyst / Data Analyst",85000,66000
"115",27,4,3,1,"BI Analyst / Data Analyst",85000,68000
"116",25,5,0,0,"BI Analyst / Data Analyst",85000,70000
"117",30,7,0,7,"BI Analyst / Data Analyst",84000,67000
"118",26,7,0,4,"BI Analyst / Data Analyst",84000,64000
"119",30,8,0,0,"BI Analyst / Data Analyst",82000,60000
"120",25,1,0,0,"BI Analyst / Data Analyst",81000,65000
"121",28,4,2,1,"BI Analyst / Data Analyst",80000,65000
"122",29,0,0,0,"BI Analyst / Data Analyst",40000,37350
"123",31,12,0,2,"BI Analyst / Data Analyst",80000,68000
"124",31,4,0,0,"BI Analyst / Data Analyst",80000,63000
"125",27,3,15,15,"Data Scientist / Data Engineer",80000,66000
"126",30,3,3,1,"BI Analyst / Data Analyst",44000,36500
"127",26,3,3,15,"Data Scientist / Data Engineer",80000,65000
"128",26,3,1,2,"Data Scientist / Data Engineer",80000,68000
"129",30,4,0,0,"Data Scientist / Data Engineer",78382,65058
"130",37,15,3,1,"BI Analyst / Data Analyst",78000,50000
"131",28,5,5,4,"Data Scientist / Data Engineer",76431,65047
"132",23,0,0,0,"Data Scientist / Data Engineer",55503,46067
"133",37,14,2,2,"Data Scientist / Data Engineer",95000,85000
"134",41,19,0,9,"BI Analyst / Data Analyst",76000,63000
"135",21,0,0,0,"Data Scientist / Data Engineer",25000,22000
"136",43,2,2,2,"Data Scientist / Data Engineer",75980,63063
"137",30,8,3,3,"Data Scientist / Data Engineer",75093,59994
"138",37,17,17,4,"BI Analyst / Data Analyst",75000,60000
"139",34,12,15,2,"Data Scientist / Data Engineer",70000,61000
"140",37,15,15,1,"Data Scientist / Data Engineer",150000,120000
"141",23,0,0,0,"Data Scientist / Data Engineer",60000,48000
